Category,Message
ham,"K I'm leaving soon, be there a little after 9"
ham,No. Yes please. Been swimming?
ham,It took Mr owl 3 licks
ham,Its going good...no problem..but still need little experience to understand american customer voice...
ham,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4..."
ham,I sent your maga that money yesterday oh.
ham,Does cinema plus drink appeal tomo? * Is a fr thriller by director i like on at mac at 8.30.
ham,"Now, whats your house # again ? And do you have any beer there ?"
spam,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL
ham,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*"
ham,When are you going to ride your bike?
ham,You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA!
ham,Somebody should go to andros and steal ice
ham,Havent stuck at orchard in my dad's car. Going 4 dinner now. U leh? So r they free tonight?
ham,Is that seriously how you spell his name?
ham,U havent lost me ill always b here 4u.i didnt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thats what itried2tell urmom.i careabout u
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04
ham,Ok thanx... Take care then...
ham,"My friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!"
ham,"We're all getting worried over here, derek and taylor have already assumed the worst"
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
ham,Anything lor if they all go then i go lor...
ham,"K, want us to come by now?"
ham,"Nah, I'm a perpetual DD"
ham,"It's cool, we can last a little while. Getting more any time soon?"
spam,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18
ham,"Haha... Sounds crazy, dunno can tahan anot..."
ham,Yup... How ü noe leh...
ham,LOL ... Have you made plans for new years?
ham,"Yeah I am, so I'll leave maybe 7ish?"
ham,"Very strange.  and  are watching the 2nd one now but i'm in bed. Sweet dreams, miss u"
ham,You can jot down things you want to remember later.
ham,Ok. C u then.
ham,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)"
ham,"Sure, I'll see if I can come by in a bit"
ham,Please ask mummy to call father
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
ham,We stopped to get ice cream and will go back after
ham,You should get more chicken broth if you want ramen unless there's some I don't know about
